Designator,Mid X,Mid Y,Rotation,Layer
BT1,0.0,-15.0,0.0,bottom
C1,0.0,-10.5,0.0,top
C2,0.0,-12.0,0.0,top
C3,0.0,-13.5,0.0,top
C4,0.0,-15.0,0.0,top
C5,-3.61,-28.73,0.0,top
C6,7.0,-22.8,0.0,top
C7,-7.0,-22.8,180.0,top
D1,-14.0,-12.27,0.0,top
D10,14.0,2.0,180.0,top
D2,-20.58,-17.0,270.0,top
D3,-14.0,-21.73,0.0,top
D4,-7.42,-17.0,270.0,top
D5,14.0,-12.27,180.0,top
D6,7.42,-17.0,270.0,top
D7,14.0,-21.73,180.0,top
D8,20.58,-17.0,270.0,top
D9,-14.0,2.0,0.0,top
LPC802,0.0,-20.0,0.0,top
PLAYER_1,-14.0,-17.0,180.0,top
PLAYER_2,14.0,-17.0,0.0,top
Q1,-13.5,-24.5,270.0,top
Q2,13.5,-24.5,90.0,top
Q3,-19.0,-4.75,90.0,top
Q4,19.0,-4.75,270.0,top
R1,3.32,-31.87,90.0,top
R10,-14.0,-6.0,180.0,top
R11,-14.0,-3.5,0.0,top
R12,14.0,-6.0,0.0,top
R13,14.0,-3.5,180.0,top
R14,-7.83,-24.74,0.0,top
R15,7.83,-24.74,180.0,top
R16,4.0,-5.0,180.0,top
R17,-4.0,-5.0,0.0,top
R2,3.32,-29.39,90.0,top
R3,-3.0,-30.67,90.0,top
R4,-7.0,-21.8,0.0,top
R5,7.0,-21.8,180.0,top
R6,-11.13,-27.6,180.0,top
R7,-7.83,-30.46,0.0,top
R8,11.13,-27.6,0.0,top
R9,7.83,-30.46,180.0,top
S1,23.15,-4.9,270.0,bottom
